trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.15, 'e': 0.891}",25,0,-169.7022444245354,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.15, 'e': 0.88209}",30,0,-210.40277478529342,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0
3,False,"{'a': 0.15, 'e': 0.8732691}",20,0,-70.22984535550947,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.15, 'e': 0.8645364090000001}",25,0,-211.83261754258254,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 5}",0
5,False,"{'a': 0.15, 'e': 0.85589104491}",30,0,-88.29154606956625,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.15, 'e': 0.8473321344609}",25,0,-242.2906207151064,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
7,False,"{'a': 0.15, 'e': 0.8388588131162911}",20,0,-33.281424043651974,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.15, 'e': 0.8304702249851281}",25,0,-152.53573162622348,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.15, 'e': 0.8221655227352769}",20,0,-179.5347798848961,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
10,False,"{'a': 0.15, 'e': 0.8139438675079241}",25,0,-193.3927549307064,"{0: 13, 1: 4, 2: 3, 3: 2, 4: 3}",0
11,False,"{'a': 0.15, 'e': 0.8058044288328449}",25,0,-65.31094082358072,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.15, 'e': 0.7977463845445164}",20,0,-115.27356248644539,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
13,False,"{'a': 0.15, 'e': 0.7897689206990712}",25,0,-110.45375947013285,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
14,False,"{'a': 0.15, 'e': 0.7818712314920805}",25,0,-24.72931689365278,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.15, 'e': 0.7740525191771597}",25,11,-71.93568535278091,"{0: 7, 1: 0, 2: 6, 3: 1, 4: 0}",1
16,False,"{'a': 0.15, 'e': 0.7663119939853881}",20,0,-101.21247128409772,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.15, 'e': 0.7586488740455342}",25,16,-38.35522905639577,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
18,False,"{'a': 0.15, 'e': 0.7510623853050789}",30,7,-112.1210430807907,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
19,False,"{'a': 0.15, 'e': 0.7435517614520281}",20,0,-60.465176185121656,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.15, 'e': 0.7361162438375077}",20,0,-64.92108679096089,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
21,False,"{'a': 0.15, 'e': 0.7287550813991327}",20,0,-96.0999800829382,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
22,False,"{'a': 0.15, 'e': 0.7214675305851413}",20,0,-78.52291671818581,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
23,False,"{'a': 0.15, 'e': 0.7142528552792899}",30,0,-191.04044614490945,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
24,False,"{'a': 0.15, 'e': 0.707110326726497}",20,0,-31.376853293984336,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.15, 'e': 0.700039223459232}",20,0,-39.53578867042646,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
26,False,"{'a': 0.15, 'e': 0.6930388312246396}",20,0,-31.504403107531065,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
27,False,"{'a': 0.15, 'e': 0.6861084429123933}",20,4,-20.65608626429128,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.15, 'e': 0.6792473584832693}",20,0,-95.6129396777263,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
29,False,"{'a': 0.15, 'e': 0.6724548848984366}",25,0,-54.6141426762094,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
30,False,"{'a': 0.15, 'e': 0.6657303360494523}",25,2,-120.04933753356414,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 2}",1
31,False,"{'a': 0.15, 'e': 0.6590730326889578}",20,0,-60.75896493771246,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
32,False,"{'a': 0.15, 'e': 0.6524823023620682}",30,0,-105.28880243600399,"{0: 23, 1: 0, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.15, 'e': 0.6459574793384475}",30,0,-111.65065806938921,"{0: 21, 1: 4, 2: 2, 3: 1, 4: 2}",0
34,False,"{'a': 0.15, 'e': 0.6394979045450631}",25,0,-74.31643557664985,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.15, 'e': 0.6331029254996124}",20,0,-18.516358257666376,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
36,False,"{'a': 0.15, 'e': 0.6267718962446163}",20,9,-27.915425110474022,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.15, 'e': 0.6205041772821701}",25,0,-31.067716369075175,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.15, 'e': 0.6142991355093484}",20,0,-17.79669005280972,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
39,False,"{'a': 0.15, 'e': 0.608156144154255}",30,0,-19.21112161197834,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.15, 'e': 0.6020745827127124}",20,0,-126.84285670660576,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
41,False,"{'a': 0.15, 'e': 0.5960538368855853}",25,0,-134.68547404407252,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
42,False,"{'a': 0.15, 'e': 0.5900932985167294}",20,0,-94.32254695573954,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
43,False,"{'a': 0.15, 'e': 0.5841923655315622}",30,9,-82.03028657990181,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 1}",1
44,False,"{'a': 0.15, 'e': 0.5783504418762465}",20,12,-36.862179039766794,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
